IP,Subnet,UDP_Packet_Count,TCP_Packet_Count,ICMP_Packet_Count,Amplification_Factor,Attack_Type
192.168.92.15,same,12,15,4,1,Normal
236.157.37.130,different,241,493,30,1,APDoS
192.168.21.253,same,9,21,5,1,Normal
192.168.130.229,same,11,17,4,1,Normal
164.49.103.132,different,51,439,63,4,APDoS
192.168.190.146,same,15,28,2,1,Normal
192.168.81.111,same,13,17,4,1,Normal
192.168.215.63,same,13,23,2,1,Normal
72.11.161.33,different,57,4,2,48,DrDoS
219.34.192.227,different,150,2,0,1,DoS
247.254.141.103,different,844,8,9,1,DDoS
192.168.204.179,same,8,27,3,1,Normal
192.168.85.28,same,13,27,4,1,Normal
192.168.115.205,same,14,20,4,1,Normal
192.168.232.180,same,18,20,2,1,Normal
192.168.53.87,same,8,16,7,1,Normal
198.213.138.240,different,193,0,0,1,DoS
192.168.69.208,same,12,20,5,1,Normal
192.168.216.178,same,7,25,5,1,Normal
192.168.98.147,same,11,21,2,1,Normal
192.168.81.194,same,12,16,7,1,Normal
192.168.118.22,same,9,22,5,1,Normal
192.168.48.17,same,8,18,4,1,Normal
192.168.66.128,same,9,12,4,1,Normal
137.42.245.176,different,48,4,1,30,DrDoS
153.151.12.60,different,16,0,3,49,DrDoS
192.168.7.238,same,8,13,3,1,Normal
192.168.85.49,same,9,20,3,1,Normal
192.168.46.99,same,11,17,3,1,Normal
23.126.136.140,different,178,107,10,2,APDoS
192.168.117.48,same,7,22,4,1,Normal
192.168.85.185,same,8,13,2,1,Normal
85.38.99.33,different,303,4,6,1,DDoS
192.168.245.69,same,14,20,10,1,Normal
12.66.64.161,different,49,1,2,48,DrDoS
192.168.11.95,same,9,22,6,1,Normal
192.168.74.157,same,9,21,5,1,Normal
23.216.98.105,different,335,0,0,1,DoS
192.168.111.217,same,9,27,7,1,Normal
228.52.150.144,different,106,6,4,1,DoS
186.166.141.223,different,171,182,44,7,APDoS
192.168.74.146,same,14,16,7,1,Normal
45.131.35.70,different,301,464,28,6,APDoS
202.89.18.39,different,175,2,1,1,DDoS
