IP,TCP_Packets,UDP_Packets,ICMP_Packets,Amplification_Factor
172.31.99.214,6,0,0,1
107.178.242.165,14,0,0,1
172.16.114.21,510,943,0,7
142.250.71.10,0,197,0,2
142.250.182.14,0,150,0,6
8.8.8.8,198,8,0,6
142.250.205.67,0,100,0,3
142.250.195.170,0,115,0,5
142.250.183.238,4,77,0,1
23.212.254.58,97,0,0,1
142.250.193.106,0,36,0,3
13.107.42.254,25,0,0,1
150.171.22.254,23,0,0,1
13.107.246.254,17,0,0,1
204.79.197.222,18,0,0,1
172.16.114.22,5,16,0,7
172.16.114.32,0,14,0,8
142.251.175.188,4,0,0,1
142.250.195.110,0,52,0,6
142.250.182.106,0,24,0,7
142.250.205.238,0,78,0,3
172.16.114.28,0,11,0,7
172.16.99.152,0,0,0,1
172.16.114.39,0,9,0,1
34.159.193.21,2,0,0,1
34.98.110.65,12,0,0,1
23.212.254.33,29,0,0,1
150.171.70.254,17,0,0,1
35.190.18.168,0,22,0,4
23.195.74.9,4,0,0,1
23.195.74.11,9,0,0,1
20.198.118.190,1,0,0,1
172.217.31.195,0,24,0,7
142.250.182.35,0,12,0,1
34.0.0.42,15,0,0,1
142.250.207.74,0,16,0,4
172.217.3.67,0,12,0,10
34.89.141.94,16,0,0,1
142.250.195.35,16,0,0,1
34.95.145.254,26,0,0,1
216.239.32.116,25,0,0,1
142.250.182.74,0,19,0,1
142.250.195.238,0,14,0,3
216.239.32.180,0,27,0,6
35.190.88.132,0,7,0,9
